date,price_usd_lb
2003-02-01,10.95
2003-03-01,9.85
2003-04-01,11.56
2003-05-01,10.49
2003-06-01,12.13
2003-07-01,13.23
2003-08-01,12.44
2003-09-01,14.67
2003-10-01,15.03
2003-11-01,16.16
2003-12-01,17.82
2004-01-01,16.3
2004-02-01,16.1
2004-03-01,16.19
2004-04-01,16.45
2004-05-01,17.24
2004-06-01,17.77
2004-07-01,18.14
2004-08-01,19.0
2004-09-01,18.76
2004-10-01,20.33
2004-11-01,19.37
2004-12-01,22.18
2005-01-01,20.83
2005-02-01,19.98
2005-03-01,20.14
2005-04-01,24.05
2005-05-01,26.15
2005-06-01,29.57
2005-07-01,30.55
2005-08-01,31.28
2005-09-01,31.82
2005-10-01,32.45
2005-11-01,34.48
2005-12-01,36.69
2006-01-01,37.5
2006-02-01,37.67
2006-03-01,40.14
2006-04-01,41.97
2006-05-01,42.63
2006-06-01,45.12
2006-07-01,48.38
2006-08-01,50.75
2006-09-01,55.29
2006-10-01,61.12
2006-11-01,67.2
2006-12-01,72.84
2007-01-01,83.9
2007-02-01,97.25
2007-03-01,117.41
2007-04-01,136.41
2007-05-01,136.41
2007-06-01,139.08
2007-07-01,131.12
2007-08-01,126.24
2007-09-01,120.76
2007-10-01,110.52
2007-11-01,99.75
2007-12-01,90.61
2008-01-01,85.72
2008-02-01,82.48
2008-03-01,78.61
2008-04-01,72.4
2008-05-01,67.52
2008-06-01,57.51
2008-07-01,58.38
2008-08-01,55.38
2008-09-01,55.12
2008-10-01,55.2
2008-11-01,53.22
2008-12-01,51.14
2009-01-01,48.43
2009-02-01,46.54
2009-03-01,42.42
2009-04-01,44.84
2009-05-01,46.37
2009-06-01,47.48
2009-07-01,49.18
2009-08-01,47.44
2009-09-01,44.78
2009-10-01,46.02
2009-11-01,44.8
2009-12-01,45.48
2010-01-01,42.98
2010-02-01,42.34
2010-03-01,41.65
2010-04-01,41.86
2010-05-01,40.12
2010-06-01,40.73
2010-07-01,44.29
2010-08-01,47.81
2010-09-01,53.41
2010-10-01,55.99
2010-11-01,58.32
2010-12-01,63.73
2011-01-01,69.7
2011-02-01,73.83
2011-03-01,63.78
2011-04-01,56.61
2011-05-01,55.51
2011-06-01,51.43
2011-07-01,52.19
2011-08-01,52.29
2011-09-01,50.76
2011-10-01,51.29
2011-11-01,48.57
2011-12-01,50.18
2012-01-01,50.8
2012-02-01,50.0
2012-03-01,52.31
2012-04-01,49.27
2012-05-01,49.48
2012-06-01,49.35
2012-07-01,49.36
2012-08-01,46.02
2012-09-01,47.06
2012-10-01,45.09
2012-11-01,43.26
2012-12-01,43.37
2013-01-01,42.83
2013-02-01,41.85
2013-03-01,42.06
2013-04-01,39.19
2013-05-01,37.09
2013-06-01,35.03
2013-07-01,35.77
2013-08-01,33.51
2013-09-01,36.21
2013-10-01,32.94
2013-11-01,34.38
2013-12-01,34.97
2014-01-01,34.89
2014-02-01,34.34
2014-03-01,34.83
2014-04-01,32.27
2014-05-01,29.86
2014-06-01,28.68
2014-07-01,29.54
2014-08-01,29.95
2014-09-01,32.47
2014-10-01,33.25
2014-11-01,34.9
2014-12-01,36.0
2015-01-01,35.25
2015-02-01,35.89
2015-03-01,37.35
2015-04-01,37.15
2015-05-01,36.57
2015-06-01,36.59
2015-07-01,37.23
2015-08-01,35.44
2015-09-01,36.06
2015-10-01,35.17
2015-11-01,34.87
2015-12-01,35.63
2016-01-01,32.66
2016-02-01,29.9
2016-03-01,27.54
2016-04-01,26.27
2016-05-01,26.55
2016-06-01,25.5
2016-07-01,25.13
2016-08-01,23.9
2016-09-01,23.2
2016-10-01,22.73
2016-11-01,20.72
2016-12-01,22.17
2017-01-01,20.36
2017-02-01,20.86
2017-03-01,23.43
2017-04-01,22.47
2017-05-01,21.67
2017-06-01,21.0
2017-07-01,21.07
2017-08-01,20.95
2017-09-01,22.31
2017-10-01,22.29
2017-11-01,24.2
2017-12-01,23.88
2018-01-01,22.42
2018-02-01,21.91
2018-03-01,21.58
2018-04-01,21.05
2018-05-01,21.09
2018-06-01,22.19
2018-07-01,23.4
2018-08-01,24.01
2018-09-01,25.25
2018-10-01,27.02
2018-11-01,26.88
2018-12-01,28.12
2019-01-01,27.68
2019-02-01,27.08
2019-03-01,26.5
2019-04-01,26.68
2019-05-01,25.44
2019-06-01,23.87
2019-07-01,24.07
2019-08-01,23.36
2019-09-01,24.24
2019-10-01,24.1
2019-11-01,24.67
2019-12-01,23.84
2020-01-01,25.92
2020-02-01,27.73
2020-03-01,27.41
2020-04-01,29.65
2020-05-01,31.72
2020-06-01,32.68
2020-07-01,32.72
2020-08-01,32.09
2020-09-01,31.7
2020-10-01,30.55
2020-11-01,30.73
2020-12-01,30.65
2021-01-01,31.49
2021-02-01,31.18
2021-03-01,32.22
2021-04-01,30.47
2021-05-01,32.36
2021-06-01,32.4
2021-07-01,38.25
2021-08-01,40.1
2021-09-01,44.33
2021-10-01,43.52
2021-11-01,41.3
2021-12-01,41.58
2022-01-01,48.06
2022-02-01,55.45
2022-03-01,62.27
2022-04-01,59.17
2022-05-01,54.09
2022-06-01,48.54
2022-07-01,48.2
2022-08-01,49.23
2022-09-01,47.69
2022-10-01,50.13
2022-11-01,49.53
2022-12-01,48.12
2023-01-01,47.96
2023-02-01,51.25
2023-03-01,50.91
2023-04-01,53.99
2023-05-01,53.72
2023-06-01,56.52
2023-07-01,61.34
2023-08-01,65.7
2023-09-01,69.64
2023-10-01,77.5
2023-11-01,83.15
2023-12-01,90.89
2024-01-01,106.1
2024-02-01,96.91
2024-03-01,87.57
2024-04-01,85.43
2024-05-01,84.44
2024-06-01,86.02
2024-07-01,83.27
2024-08-01,80.4
2024-09-01,80.24
2024-10-01,77.09
2024-11-01,75.94
2024-12-01,73.05
2025-01-01,71.98
2025-02-01,69.07
2025-03-01,64.8
2025-04-01,66.78
2025-05-01,67.52
2025-06-01,69.09
2025-07-01,69.56
2025-08-01,73.22
2025-09-01,75.85
2025-10-01,75.93
2025-11-01,78.72
2025-12-01,80.37
2026-01-01,82.78
2026-02-01,84.57
2026-03-01,86.2
2026-04-01,86.06
2026-05-01,88.3
