price_date,year,month,price_usd_lb
1996-02-01,1996,2,13.12
1996-03-01,1996,3,10.3
1996-04-01,1996,4,13.59
1996-05-01,1996,5,13.54
1996-06-01,1996,6,13.76
1996-07-01,1996,7,13.99
1996-08-01,1996,8,12.24
1996-09-01,1996,9,13.57
1996-10-01,1996,10,13.95
1996-11-01,1996,11,14.77
1996-12-01,1996,12,13.09
1997-01-01,1997,1,12.44
1997-02-01,1997,2,12.27
1997-03-01,1997,3,12.98
1997-04-01,1997,4,12.1
1997-05-01,1997,5,10.99
1997-06-01,1997,6,11.41
1997-07-01,1997,7,10.98
1997-08-01,1997,8,11.57
1997-09-01,1997,9,10.14
1997-10-01,1997,10,10.34
1997-11-01,1997,11,10.19
1997-12-01,1997,12,9.23
1998-01-01,1998,1,10.55
1998-02-01,1998,2,10.44
1998-03-01,1998,3,10.15
1998-04-01,1998,4,9.88
1998-05-01,1998,5,8.85
1998-06-01,1998,6,9.56
1998-07-01,1998,7,9.51
1998-08-01,1998,8,9.02
1998-09-01,1998,9,9.42
1998-10-01,1998,10,9.76
1998-11-01,1998,11,10.83
1998-12-01,1998,12,9.34
1999-01-01,1999,1,9.34
1999-02-01,1999,2,9.01
1999-03-01,1999,3,7.46
1999-04-01,1999,4,8.91
1999-05-01,1999,5,8.91
1999-06-01,1999,6,10.77
1999-07-01,1999,7,8.45
1999-08-01,1999,8,8.64
1999-09-01,1999,9,8.17
1999-10-01,1999,10,7.07
1999-11-01,1999,11,8.71
1999-12-01,1999,12,8.2
2000-01-01,2000,1,8.15
2000-02-01,2000,2,6.71
2000-03-01,2000,3,8.47
2000-04-01,2000,4,6.15
2000-05-01,2000,5,7.65
2000-06-01,2000,6,8.85
2000-07-01,2000,7,6.33
2000-08-01,2000,8,6.7
2000-09-01,2000,9,7.25
2000-10-01,2000,10,6.8
2000-11-01,2000,11,5.98
2000-12-01,2000,12,7.3
2001-01-01,2001,1,6.44
2001-02-01,2001,2,7.71
2001-03-01,2001,3,6.64
2001-04-01,2001,4,8.66
2001-05-01,2001,5,6.83
2001-06-01,2001,6,7.24
2001-07-01,2001,7,8.2
2001-08-01,2001,8,6.62
2001-09-01,2001,9,7.83
2001-10-01,2001,10,8.75
2001-11-01,2001,11,6.46
2001-12-01,2001,12,7.95
2002-01-01,2002,1,8.12
2002-02-01,2002,2,8.66
2002-03-01,2002,3,7.16
2002-04-01,2002,4,7.21
2002-05-01,2002,5,8.8
2002-06-01,2002,6,8.74
2002-07-01,2002,7,8.97
2002-08-01,2002,8,9.31
2002-09-01,2002,9,8.76
2002-10-01,2002,10,9.75
2002-11-01,2002,11,10.07
2002-12-01,2002,12,9.53
2003-01-01,2003,1,11.83
2003-02-01,2003,2,10.95
2003-03-01,2003,3,9.85
2003-04-01,2003,4,11.56
2003-05-01,2003,5,10.49
2003-06-01,2003,6,12.13
2003-07-01,2003,7,13.23
2003-08-01,2003,8,12.44
2003-09-01,2003,9,14.67
2003-10-01,2003,10,15.03
2003-11-01,2003,11,16.16
2003-12-01,2003,12,17.82
2004-01-01,2004,1,16.3
2004-02-01,2004,2,16.1
2004-03-01,2004,3,16.19
2004-04-01,2004,4,16.45
2004-05-01,2004,5,17.24
2004-06-01,2004,6,17.77
2004-07-01,2004,7,18.14
2004-08-01,2004,8,19.0
2004-09-01,2004,9,18.76
2004-10-01,2004,10,20.33
2004-11-01,2004,11,19.37
2004-12-01,2004,12,22.18
2005-01-01,2005,1,20.83
2005-02-01,2005,2,19.98
2005-03-01,2005,3,20.14
2005-04-01,2005,4,24.05
2005-05-01,2005,5,26.15
2005-06-01,2005,6,29.57
2005-07-01,2005,7,30.55
2005-08-01,2005,8,31.28
2005-09-01,2005,9,31.82
2005-10-01,2005,10,32.45
2005-11-01,2005,11,34.48
2005-12-01,2005,12,36.69
2006-01-01,2006,1,37.5
2006-02-01,2006,2,37.67
2006-03-01,2006,3,40.14
2006-04-01,2006,4,41.97
2006-05-01,2006,5,42.63
2006-06-01,2006,6,45.12
2006-07-01,2006,7,48.38
2006-08-01,2006,8,50.75
2006-09-01,2006,9,55.29
2006-10-01,2006,10,61.12
2006-11-01,2006,11,67.2
2006-12-01,2006,12,72.84
2007-01-01,2007,1,83.9
2007-02-01,2007,2,97.25
2007-03-01,2007,3,117.41
2007-04-01,2007,4,136.41
2007-05-01,2007,5,136.41
2007-06-01,2007,6,139.08
2007-07-01,2007,7,131.12
2007-08-01,2007,8,126.24
2007-09-01,2007,9,120.76
2007-10-01,2007,10,110.52
2007-11-01,2007,11,99.75
2007-12-01,2007,12,90.61
2008-01-01,2008,1,85.72
2008-02-01,2008,2,82.48
2008-03-01,2008,3,78.61
2008-04-01,2008,4,72.4
2008-05-01,2008,5,67.52
2008-06-01,2008,6,57.51
2008-07-01,2008,7,58.38
2008-08-01,2008,8,55.38
2008-09-01,2008,9,55.12
2008-10-01,2008,10,55.2
2008-11-01,2008,11,53.22
2008-12-01,2008,12,51.14
2009-01-01,2009,1,48.43
2009-02-01,2009,2,46.54
2009-03-01,2009,3,42.42
2009-04-01,2009,4,44.84
2009-05-01,2009,5,46.37
2009-06-01,2009,6,47.48
2009-07-01,2009,7,49.18
2009-08-01,2009,8,47.44
2009-09-01,2009,9,44.78
2009-10-01,2009,10,46.02
2009-11-01,2009,11,44.8
2009-12-01,2009,12,45.48
2010-01-01,2010,1,42.98
2010-02-01,2010,2,42.34
2010-03-01,2010,3,41.65
2010-04-01,2010,4,41.86
2010-05-01,2010,5,40.12
2010-06-01,2010,6,40.73
2010-07-01,2010,7,44.29
2010-08-01,2010,8,47.81
2010-09-01,2010,9,53.41
2010-10-01,2010,10,55.99
2010-11-01,2010,11,58.32
2010-12-01,2010,12,63.73
2011-01-01,2011,1,69.7
2011-02-01,2011,2,73.83
2011-03-01,2011,3,63.78
2011-04-01,2011,4,56.61
2011-05-01,2011,5,55.51
2011-06-01,2011,6,51.43
2011-07-01,2011,7,52.19
2011-08-01,2011,8,52.29
2011-09-01,2011,9,50.76
2011-10-01,2011,10,51.29
2011-11-01,2011,11,48.57
2011-12-01,2011,12,50.18
2012-01-01,2012,1,50.8
2012-02-01,2012,2,50.0
2012-03-01,2012,3,52.31
2012-04-01,2012,4,49.27
2012-05-01,2012,5,49.48
2012-06-01,2012,6,49.35
2012-07-01,2012,7,49.36
2012-08-01,2012,8,46.02
2012-09-01,2012,9,47.06
2012-10-01,2012,10,45.09
2012-11-01,2012,11,43.26
2012-12-01,2012,12,43.37
2013-01-01,2013,1,42.83
2013-02-01,2013,2,41.85
2013-03-01,2013,3,42.06
2013-04-01,2013,4,39.19
2013-05-01,2013,5,37.09
2013-06-01,2013,6,35.03
2013-07-01,2013,7,35.77
2013-08-01,2013,8,33.51
2013-09-01,2013,9,36.21
2013-10-01,2013,10,32.94
2013-11-01,2013,11,34.38
2013-12-01,2013,12,34.97
2014-01-01,2014,1,34.89
2014-02-01,2014,2,34.34
2014-03-01,2014,3,34.83
2014-04-01,2014,4,32.27
2014-05-01,2014,5,29.86
2014-06-01,2014,6,28.68
2014-07-01,2014,7,29.54
2014-08-01,2014,8,29.95
2014-09-01,2014,9,32.47
2014-10-01,2014,10,33.25
2014-11-01,2014,11,34.9
2014-12-01,2014,12,36.0
2015-01-01,2015,1,35.25
2015-02-01,2015,2,35.89
2015-03-01,2015,3,37.35
2015-04-01,2015,4,37.15
2015-05-01,2015,5,36.57
2015-06-01,2015,6,36.59
2015-07-01,2015,7,37.23
2015-08-01,2015,8,35.44
2015-09-01,2015,9,36.06
2015-10-01,2015,10,35.17
2015-11-01,2015,11,34.87
2015-12-01,2015,12,35.63
2016-01-01,2016,1,32.66
2016-02-01,2016,2,29.9
2016-03-01,2016,3,27.54
2016-04-01,2016,4,26.27
2016-05-01,2016,5,26.55
2016-06-01,2016,6,25.5
2016-07-01,2016,7,25.13
2016-08-01,2016,8,23.9
2016-09-01,2016,9,23.2
2016-10-01,2016,10,22.73
2016-11-01,2016,11,20.72
2016-12-01,2016,12,22.17
2017-01-01,2017,1,20.36
2017-02-01,2017,2,20.86
2017-03-01,2017,3,23.43
2017-04-01,2017,4,22.47
2017-05-01,2017,5,21.67
2017-06-01,2017,6,21.0
2017-07-01,2017,7,21.07
2017-08-01,2017,8,20.95
2017-09-01,2017,9,22.31
2017-10-01,2017,10,22.29
2017-11-01,2017,11,24.2
2017-12-01,2017,12,23.88
2018-01-01,2018,1,22.42
2018-02-01,2018,2,21.91
2018-03-01,2018,3,21.58
2018-04-01,2018,4,21.05
2018-05-01,2018,5,21.09
2018-06-01,2018,6,22.19
2018-07-01,2018,7,23.4
2018-08-01,2018,8,24.01
2018-09-01,2018,9,25.25
2018-10-01,2018,10,27.02
2018-11-01,2018,11,26.88
2018-12-01,2018,12,28.12
2019-01-01,2019,1,27.68
2019-02-01,2019,2,27.08
2019-03-01,2019,3,26.5
2019-04-01,2019,4,26.68
2019-05-01,2019,5,25.44
2019-06-01,2019,6,23.87
2019-07-01,2019,7,24.07
2019-08-01,2019,8,23.36
2019-09-01,2019,9,24.24
2019-10-01,2019,10,24.1
2019-11-01,2019,11,24.67
2019-12-01,2019,12,23.84
2020-01-01,2020,1,25.92
2020-02-01,2020,2,27.73
2020-03-01,2020,3,27.41
2020-04-01,2020,4,29.65
2020-05-01,2020,5,31.72
2020-06-01,2020,6,32.68
2020-07-01,2020,7,32.72
2020-08-01,2020,8,32.09
2020-09-01,2020,9,31.7
2020-10-01,2020,10,30.55
2020-11-01,2020,11,30.73
2020-12-01,2020,12,30.65
2021-01-01,2021,1,31.49
2021-02-01,2021,2,31.18
2021-03-01,2021,3,32.22
2021-04-01,2021,4,30.47
2021-05-01,2021,5,32.36
2021-06-01,2021,6,32.4
2021-07-01,2021,7,38.25
2021-08-01,2021,8,40.1
2021-09-01,2021,9,44.33
2021-10-01,2021,10,43.52
2021-11-01,2021,11,41.3
2021-12-01,2021,12,41.58
2022-01-01,2022,1,48.06
2022-02-01,2022,2,55.45
2022-03-01,2022,3,62.27
2022-04-01,2022,4,59.17
2022-05-01,2022,5,54.09
2022-06-01,2022,6,48.54
2022-07-01,2022,7,48.2
2022-08-01,2022,8,49.23
2022-09-01,2022,9,47.69
2022-10-01,2022,10,50.13
2022-11-01,2022,11,49.53
2022-12-01,2022,12,48.12
2023-01-01,2023,1,47.96
2023-02-01,2023,2,51.25
2023-03-01,2023,3,50.91
2023-04-01,2023,4,53.99
2023-05-01,2023,5,53.72
2023-06-01,2023,6,56.52
2023-07-01,2023,7,61.34
2023-08-01,2023,8,65.7
2023-09-01,2023,9,69.64
2023-10-01,2023,10,77.5
2023-11-01,2023,11,83.15
2023-12-01,2023,12,90.89
2024-01-01,2024,1,106.1
2024-02-01,2024,2,96.91
2024-03-01,2024,3,87.57
2024-04-01,2024,4,85.43
2024-05-01,2024,5,84.44
2024-06-01,2024,6,86.02
2024-07-01,2024,7,83.27
2024-08-01,2024,8,80.4
2024-09-01,2024,9,80.24
2024-10-01,2024,10,77.09
2024-11-01,2024,11,75.94
2024-12-01,2024,12,73.05
2025-01-01,2025,1,71.98
2025-02-01,2025,2,69.07
2025-03-01,2025,3,64.8
2025-04-01,2025,4,66.78
2025-05-01,2025,5,67.52
2025-06-01,2025,6,69.09
2025-07-01,2025,7,69.56
2025-08-01,2025,8,73.22
2025-09-01,2025,9,75.85
2025-10-01,2025,10,75.93
2025-11-01,2025,11,78.72
2025-12-01,2025,12,80.37
2026-01-01,2026,1,82.78
2026-02-01,2026,2,84.57
2026-03-01,2026,3,86.2
2026-04-01,2026,4,86.06
2026-05-01,2026,5,88.3
